"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Sarah Olney","@sarahjolney1","Liberal Democrat","Richmond Park",15391,8
"Sarah Jones","@LabourSJ","Labour","Croydon Central",18734,1
"Sarah Dines","@Dines4Dales","Conservative","Derbyshire Dales",1072,0
"Sarah Champion ","@SarahChampionMP","Labour","Rotherham",47250,-13
"Sarah Atherton","@AthertonNWales","Conservative","Wrexham",6185,3
"Sara Britcliffe","@SarBritcliffeMP","Conservative","Hyndburn",3907,8
"Saqib Bhatti","@bhatti_saqib","Conservative","Meriden",6762,0
"Sammy Wilson ","@eastantrimmp","Democratic Unionist Party","East Antrim",19094,8
"Sam Tarry","@SamTarry","Labour","Ilford South",20401,-1
"Sally-Ann Hart","@SallyAnn1066","Conservative","Hastings and Rye",2606,7
"Sajid Javid ","@sajidjavid","Conservative","Bromsgrove",210802,67
"Ruth Jones","@RuthNewportWest","Labour","Newport West",5464,3
"Ruth Edwards","@RuthEdwardsMP","Conservative","Rushcliffe",3583,3
"Ruth Cadbury ","@RuthCadbury","Labour","Brentford and Isleworth",21875,-10
"Rushanara Ali ","@rushanaraali","Labour","Bethnal Green and Bow",42065,7
"Royston Smith ","@Royston_Smith","Conservative","Southampton, Itchen",6857,-4
"Rosie Duffield","@RosieDuffield1","Labour","Canterbury",32530,3
"Rosie Cooper ","@rosie4westlancs","Labour","West Lancashire",12858,-1
"Ronnie Cowan ","@ronniecowan","Scottish National Party","Inverclyde",12804,6
"Roger Gale","@SirRogerGale","Conservative","North Thanet",5268,3
"Robin Walker ","@WalkerWorcester","Conservative","Worcester",14259,2
"Robin John Millar","@RobinMillarMP","Conservative","Aberconwy",2662,0
"Robert Syms ","@RobertSyms","Conservative","Poole",10271,1
"Robert Neill ","@neill_bob","Conservative","Bromley and Chislehurst",16602,4
"Robert Largan","@robertlargan","Conservative","High Peak",5538,6
"Robert Jenrick ","@RobertJenrick","Conservative","Newark",46570,41
"Robert Halfon ","@halfon4harlowMP","Conservative","Harlow",33826,6
"Robert Courts ","@robertcourts","Conservative","Witney",8651,5
"Robert Buckland ","@RobertBuckland","Conservative","South Swindon",27343,-9
"Robbie Moore","@_RobbieMoore","Conservative","Keighley",3759,6
"Rob Roberts","@RobDelyn","Conservative","Delyn",5671,5
"Rob Butler","@AylesburyTories","Conservative","Aylesbury",1041,1
"Rishi Sunak","@RishiSunak","Conservative","Richmond (Yorks)",428827,582
"Richard Holden","@RicHolden","Conservative","North West Durham",7426,2
"Richard Graham ","@RichardGrahamUK","Conservative","Gloucester",12081,-8
"Richard Gordon Thomson","@RThomsonMP","Scottish National Party","Gordon",2550,5
"Richard Burgon ","@RichardBurgon","Labour","Leeds East",118380,31
"Richard Bacon","@richardbaconmp","Conservative","South Norfolk",1363,-2
"Rehman Chishti ","@Rehman_Chishti","Conservative","Gillingham and Rainham",18862,-1
"Rebecca Pow ","@pow_rebecca","Conservative","Taunton Deane",12671,11
"Rebecca Long-Bailey","@RLong_Bailey","Labour","Salford and Eccles",178886,31
"Rebecca Harris ","@RebeccaHarrisMP","Conservative","Castle Point",6492,1
"Ranil Jayawardena ","@TeamRanil","Conservative","North East Hampshire",1980,5
"Rachel Reeves ","@RachelReevesMP","Labour","Leeds West",95937,101
"Rachel Maclean","@redditchrachel","Conservative","Redditch",10105,6
"Rachel Hopkins","@rach_hopkins","Labour","Luton South",6541,-3
"Rachael Maskell ","@RachaelMaskell","Labour","York Central",27593,-11
"Priti Patel ","@pritipatel","Conservative","Witham",291754,131
"Preet Gill","@PreetKGillMP","Labour","Birmingham, Edgbaston",25936,7
"Philip Dunne","@Dunne4Ludlow","Conservative","Ludlow",10971,8
"Philip Davies ","@PhilipDaviesUK","Conservative","Shipley",20967,2
"Peter Kyle ","@peterkyle","Labour","Hove",38118,-11
"Peter Grant ","@PeterGrantMP","Scottish National Party","Glenrothes",16739,5
"Peter Gibson","@Gibbo4Darlo","Conservative","Darlington",1964,16
"Peter Dowd ","@Peter_Dowd","Labour","Bootle",14519,-3
"Peter Bone ","@PeterBoneUK","Conservative","Wellingborough",37999,5
"Peter Aldous ","@peter_aldous","Conservative","Waveney",10559,-1
"Pete Wishart ","@PeteWishart","Scottish National Party","Perth and North Perthshire",48987,2
"Penny Mordaunt ","@PennyMordaunt","Conservative","Portsmouth North",72688,-23
"Pauline Latham ","@Pauline_Latham","Conservative","Mid Derbyshire",18934,6
"Paula Barker","@PaulaBarkerMP","Labour","Liverpool, Wavertree",12396,-11
"Paul Scully ","@scullyp","Conservative","Sutton and Cheam",13494,4
"Paul Maynard ","@PaulMaynardUK","Conservative","Blackpool North and Cleveleys",18903,23
"Paul Maskey ","@PaulMaskeyMP","Sinn Féin","Belfast West",18025,-2
"Paul Howell","@PaulHowellMP","Conservative","Sedgefield",2050,5
"Paul Holmes","@pauljholmes","Conservative","Eastleigh",6297,1
"Paul Girvan","@PaulGirvanMP","Democratic Unionist Party","South Antrim",6051,0
"Paul Bristow","@paulbristow79","Conservative","Peterborough",8215,0
"Paul Blomfield ","@PaulBlomfieldMP","Labour","Sheffield Central",21115,-1
"Patrick Grady ","@GradySNP","Scottish National Party","Glasgow North",16520,3
"Patricia Gibson ","@PGibsonSNP","Scottish National Party","North Ayrshire and Arran",13027,0
"Pat McFadden ","@patmcfaddenmp","Labour","Wolverhampton South East",24239,-2
"Owen Thompson ","@OwenThompson","Scottish National Party","Midlothian",7033,-3
"Owen Paterson ","@OwenPaterson","Conservative","North Shropshire",46688,8
"Órfhlaith Begley","@OrfhlaithBegley","Sinn Féin","West Tyrone",7433,-7
"Olivia Frances Blake","@_OliviaBlake","Labour","Sheffield, Hallam",12389,1
"Oliver Heald QC ","@OliverHealdUK","Conservative","North East Hertfordshire",11387,5
"Oliver Dowden","@OliverDowden","Conservative","Hertsmere",27245,26
"Nusrat Ghani ","@Nus_Ghani","Conservative","Wealden",20235,2
"Nigel Mills ","@nigelmills","Conservative","Amber Valley",4769,1
"Nigel Huddleston ","@HuddlestonNigel","Conservative","Mid Worcestershire",14996,1
"Nigel Evans","@nigelmp","Conservative","Ribble Valley",13926,-4
"Nigel Adams","@nadams","Conservative","Selby and Ainsty",9592,14
"Nicola Faye Richards","@Nicola4WBE","Conservative","West Bromwich East",6646,5
"Nickie Aiken","@twocitiesnickie","Conservative","Cities of London and Westminster",1950,0
"Nick Thomas-Symonds ","@NickTorfaen","Labour","Torfaen",27632,3
"Nick Smith ","@BlaenauGwentMP","Labour","Blaenau Gwent",9559,-4
"Nick Gibb","@NickGibbUK","Conservative","Bognor Regis and Littlehampton",17539,12
"Nicholas Fletcher","@NickFletcherMP","Conservative","Don Valley",2132,0
"Nia Griffith ","@NiaGriffithMP","Labour","Llanelli",17474,0
"Neil Parish ","@neil_parish","Conservative","Tiverton and Honiton",6070,3
"Neil O'Brien","@NeilDotObrien","Conservative","Harborough",15862,116
"Neil Hudson","@DrNeilHudson","Conservative","Penrith and The Border",2862,0
"Neil Gray ","@neilgraysnp","Scottish National Party","Airdrie and Shotts",14385,0
"Neil Coyle ","@coyleneil","Labour","Bermondsey and Old Southwark",25342,-4
"Neale Hanvey","@JNHanvey","Scottish National Party","Kirkcaldy and Cowdenbeath",4344,4
"Naz Shah ","@NazShahBfd","Labour","Bradford West",44515,-4
"Nav Mishra","@NavPMishra","Labour","Stockport",9927,-3
"Natalie Elphicke","@NatalieElphicke","Conservative","Dover",5528,3
"Nadine Dorries ","@NadineDorries","Conservative","Mid Bedfordshire",98788,3
"Nadia Whittome","@NadiaWhittomeMP","Labour","Nottingham East",60004,-32
"Nadhim Zahawi ","@nadhimzahawi","Conservative","Stratford-on-Avon",32325,6
"Munira Wilson","@munirawilson","Liberal Democrat","Twickenham",11190,7
"Mohammad Yasin","@YasinForBedford","Labour","Bedford",2290,-1
"Mims Davies ","@mimsdavies","Conservative","Mid Sussex",15569,1
"Mike Wood ","@mikejwood","Conservative","Dudley South",6175,2
"Mike Kane ","@MikeKaneMP","Labour","Wythenshawe and Sale East",11024,6
"Mike Hill","@MikeHillMP","Labour","Hartlepool",2970,0
"Mike Amesbury","@MikeAmesburyMP","Labour","Weaver Vale",9772,13
"Mickey Brady ","@MickeyBradySF","Sinn Féin","Newry and Armagh",4968,-1
"Mick Whitley","@MickWhitleyMP","Labour","Birkenhead",9900,-8
"Michelle Gildernew","@gildernewm","Sinn Féin","Fermanagh and South Tyrone",19404,-7
"Michelle Donelan ","@michelledonelan","Conservative","Chippenham",15774,8
"Michael Tomlinson ","@Michael4MDNP","Conservative","Mid Dorset and North Poole",9998,1
"Michael Gove ","@michaelgove","Conservative","Surrey Heath",206743,152
"Michael Fabricant ","@Mike_Fabricant","Conservative","Lichfield",39056,8
"Michael Ellis ","@Michael_Ellis1","Conservative","Northampton North",12932,7
"Mhairi Black ","@MhairiBlack","Scottish National Party","Paisley and Renfrewshire South",190857,15
"Mel Stride","@MelJStride","Conservative","Central Devon",5750,-4
"Meg Hillier ","@Meg_HillierMP","Labour","Hackney South and Shoreditch",19583,2
"Matthew Pennycook ","@mtpennycook","Labour","Greenwich and Woolwich",20663,-1
"Matthew Offord","@Offord4Hendon","Conservative","Hendon",9433,-3
"Matthew Hancock ","@MattHancock","Conservative","West Suffolk",360851,786
"Matt Western","@MattWestern_","Labour","Warwick and Leamington",7664,10
"Matt Warman ","@mattwarman","Conservative","Boston and Skegness",19269,0
"Matt Rodda","@MattRodda","Labour","Reading East",6078,0
"Mary Robinson ","@MaryRobinson01","Conservative","Cheadle",8883,6
"Mary Glindon","@GlindonMary","Labour","North Tyneside",528,3
"Mary Foy","@marykfoy","Labour","City of Durham",10935,-8
"Martyn Day ","@MartynDaySNP","Scottish National Party","Linlithgow and East Falkirk",10621,-2
"Martin Vickers ","@MartinVickers","Conservative","Cleethorpes",12157,1
"Martin Docherty-Hughes","@MartinJDocherty","Scottish National Party","West Dunbartonshire",13382,0
"Marsha de Cordova","@MarshadeCordova","Labour","Battersea",37127,-2
"Mark Tami ","@MarkTamiMP","Labour","Alyn and Deeside",8852,-3
"Mark Spencer ","@Mark_Spencer","Conservative","Sherwood",16489,3
"Mark Pritchard ","@MPritchardUK","Conservative","The Wrekin",10377,1
"Mark Pawsey ","@MarkPawsey","Conservative","Rugby",7047,1
"Mark Jenkinson","@markjenkinsonmp","Conservative","Workington",3814,3
"Mark Hendrick","@MpHendrick","Labour","Preston",4851,-1
"Mark Harper ","@Mark_J_Harper","Conservative","Forest of Dean",18422,3
"Mark Garnier ","@Mark4WyreForest","Conservative","Wyre Forest",15571,6
"Mark Eastwood","@mark4dewsbury","Conservative","Dewsbury",4166,0
"Marion Fellows ","@marionfellows","Scottish National Party","Motherwell and Wishaw",11636,-3
"Marie Rimmer ","@MarieRimmer","Labour","St Helens South and Whiston",12574,2
"Maria Miller ","@MariaMillerUK","Conservative","Basingstoke",20949,-3
"Maria Eagle ","@meaglemp","Labour","Garston and Halewood",48054,0
"Maria Caulfield ","@mariacaulfield","Conservative","Lewes",21311,9
"Margaret Hodge ","@margarethodge","Labour","Barking",46916,-2
"Margaret Greenwood ","@MGreenwoodWW","Labour","Wirral West",21322,-3
"Margaret Ferrier ","@MargaretFerrier","Independent","Rutherglen and Hamilton West",16983,3
"Marcus Jones ","@Marcus4Nuneaton","Conservative","Nuneaton",9307,5
"Marcus Fysh ","@MarcusFysh","Conservative","Yeovil",16032,3
"Marco Longhi","@marcolonghi4dn","Conservative","Dudley North",3044,4
"Maggie Throup ","@maggie_erewash","Conservative","Erewash",1120,3
"Lyn Brown ","@lynbrownmp","Labour","West Ham",12804,9
"Luke Pollard","@LukePollard","Labour","Plymouth, Sutton and Devonport",29723,-5
"Luke Hall ","@LukeHall","Conservative","Thornbury and Yate",4570,5
"Luke Evans","@drlukeevans","Conservative","Bosworth",7961,-3
"Lucy Powell ","@LucyMPowell","Labour","Manchester Central",56448,-4
"Lucy Frazer ","@lucyfrazermp","Conservative","South East Cambridgeshire",8077,9
"Lucy Allan ","@lucyallan","Conservative","Telford",28876,3
"Louise Haigh ","@LouHaigh","Labour","Sheffield, Heeley",44796,-6
"Lloyd Russell-Moyle","@lloyd_rm","Labour","Brighton, Kemptown",30089,-10
"Liz Twist","@LizTwistMP","Labour","Blaydon",3735,1
"Liz Saville Roberts ","@LSRPlaid","Plaid Cymru","Dwyfor Meirionnydd",15840,0
"Liz Kendall ","@leicesterliz","Labour","Leicester West",94184,-1
"Lisa Nandy ","@lisanandy","Labour","Wigan",201426,146
"Lisa Cameron","@DrLisaCameronMP","Scottish National Party","East Kilbride, Strathaven and Lesmahagow",13515,-1
"Lindsay Hoyle","@LindsayHoyle_MP","Speaker","Chorley",36806,4
"Lilian Greenwood ","@LilianGreenwood","Labour","Nottingham South",28637,12
"Liam Byrne ","@liambyrnemp","Labour","Birmingham, Hodge Hill",36059,-2
"Lia Nici","@lia_nici","Conservative","Great Grimsby",2421,26
"Leo Docherty","@LeoDochertyUK","Conservative","Aldershot",5323,1
"Lee Benjamin Rowley","@Lee4NED","Conservative","North East Derbyshire",9880,3
"Lee Anderson","@ashfield_lee","Conservative","Ashfield",3810,3
"Layla Moran","@LaylaMoran","Liberal Democrat","Oxford West and Abingdon",64028,-5
"Laurence Robertson ","@lrobertsonTewks","Conservative","Tewkesbury",3809,2
"Laura Farris","@Laura__Farris","Conservative","Newbury",5749,5
"Kwasi Kwarteng ","@KwasiKwarteng","Conservative","Spelthorne",12878,2
"Kit Malthouse ","@kitmalthouse","Conservative","North West Hampshire",16386,10
"Kirsty Blackman ","@KirstySNP","Scottish National Party","Aberdeen North",23955,-7
